"filename", "language", "HTML", "PHP", "CSS", "JavaScript", "XML", "SCSS", "Less", "JSON", "Python", "pip requirements", "comment", "blank", "total"
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\bootstrap\css\bootstrap.rtl.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 5059, 0, 0, 0, 0, 0, 0, 535, 1497, 7091
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\bootstrap\js\bootstrap.esm.js", "JavaScript", 0, 0, 0, 3562, 0, 0, 0, 0, 0, 0, 458, 1198, 5218
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\bootstrap\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 0, 3599, 0, 0, 0, 0, 0, 0, 464, 1202, 5265
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\boxicons\css\animations.css", "CSS", 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 32, 386
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\boxicons\css\boxicons.css", "CSS", 0, 0, 5271, 0, 0, 0, 0, 0, 0, 0, 0, 53, 5324
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\boxicons\css\boxicons.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\boxicons\css\transformations.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\boxicons\fonts\boxicons.svg", "XML", 0, 0, 0, 0, 1626, 0, 0, 0, 0, 0, 0, 0, 1626
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\glightbox\css\glightbox.css", "CSS", 0, 0, 819, 0, 0, 0, 0, 0, 0, 0, 8, 113, 940
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\glightbox\css\glightbox.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\glightbox\css\plyr.css", "CSS", 0, 0, 1615, 0, 0, 0, 0, 0, 0, 0, 0, 185, 1800
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\glightbox\css\plyr.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\glightbox\js\glightbox.js", "JavaScript", 0, 0, 0, 3066, 0, 0, 0, 0, 0, 0, 0, 590, 3656
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\glightbox\js\glightbox.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\isotope-layout\isotope.pkgd.js", "JavaScript", 0, 0, 0, 2198, 0, 0, 0, 0, 0, 0, 830, 536, 3564
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\isotope-layout\isotope.pkgd.min.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 9, 1, 12
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\php-email-form\validate.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 5, 11, 82
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\purecounter\purecounter_vanilla.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 0, 9
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\remixicon\remixicon.css", "CSS", 0, 0, 2303, 0, 0, 0, 0, 0, 0, 0, 10, 5, 2318
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\remixicon\remixicon.less", "Less", 0, 0, 0, 0, 0, 0, 2305, 0, 0, 0, 10, 5, 2320
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\remixicon\remixicon.svg", "XML", 0, 0, 0, 0, 6825, 0, 0, 0, 0, 0, 10, 1, 6836
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\remixicon\remixicon.symbol.svg", "XML", 0, 0, 0, 0, 11346, 0, 0, 0, 0, 0, 10, 0, 11356
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\swiper\swiper-bundle.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 1, 13
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\assets\vendor\swiper\swiper-bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 14
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\css\style.css", "CSS", 0, 0, 1722, 0, 0, 0, 0, 0, 0, 0, 81, 330, 2133
